# Bola branco e 7 actions - variando iluminacao, campo e voltando para o gol

292 112 10.0910714286 -60.9 28.9 2920000
293 113 9.21061946903 -280.3 27.2 2930000
294 98 5.82653061224 -207.7 24.5 2940000
295 124 13.0 -150.3 27.5 2950000
296 109 10.9256880734 -36.6 28.7 2960000
297 123 12.1902439024 -86.7 32.7 2970000
298 107 9.78971962617 -59.8 27.7 2980000
299 114 10.9921052632 -64.2 26.7 2990000
300 115 10.4939130435 -52.5 27.2 3000000
301 123 13.225203252 -28.5 27.7 3010000
302 120 13.3325 -23.1 29.3 3020000
303 114 12.1157894737 -148.8 28.4 3030000
304 119 12.943697479 -40.5 28.6 3040000
305 122 11.4795081967 -239.5 27.6 3050000
306 113 10.2911504425 -208.9 28.2 3060000
307 124 12.9274193548 -125.6 29.7 3070000
308 111 8.02972972973 -250.9 29.5 3080000
309 105 9.59333333333 -33.7 25.5 3090000
310 133 15.0390977444 -31.1 27.6 3100000
311 109 12.6082568807 -28.0 27.7 3110000
312 118 9.98813559322 -251.3 26.8 3120000
313 114 10.7 -219.2 26.9 3130000
314 112 10.6107142857 -62.3 31.2 3140000
315 114 11.2394736842 -123.3 26.6 3150000
316 113 10.3061946903 -229.5 27.4 3160000
317 106 9.92924528302 -91.5 26.4 3170000
318 127 13.8078740157 -6.4 26.5 3180000
319 131 14.3549618321 -2.4 25.9 3190000
